,type,Accuarcy,adv
0,"poly, $\gamma =  $0.05, deg = 2, $\alpha = $0.8",0.49 $\pm$ 0.00,same
1,"poly, $\gamma =  $0.05, deg = 2, $\alpha = $1",0.49 $\pm$ 0.00,same
2,"poly, $\gamma =  $0.05, deg = 2, $\alpha = $1.2",0.49 $\pm$ 0.00,same
3,"poly, $\gamma =  $0.05, deg = 3, $\alpha = $0.8",0.49 $\pm$ 0.00,same
4,"poly, $\gamma =  $0.05, deg = 3, $\alpha = $1",0.49 $\pm$ 0.00,same
5,"poly, $\gamma =  $0.05, deg = 3, $\alpha = $1.2",0.49 $\pm$ 0.00,same
6,"poly, $\gamma =  $0.1, deg = 2, $\alpha = $0.8",0.49 $\pm$ 0.00,same
7,"poly, $\gamma =  $0.1, deg = 2, $\alpha = $1",0.49 $\pm$ 0.00,same
8,"poly, $\gamma =  $0.1, deg = 2, $\alpha = $1.2",0.49 $\pm$ 0.00,same
9,"poly, $\gamma =  $0.1, deg = 3, $\alpha = $0.8",0.53 $\pm$ 0.01,same
10,"poly, $\gamma =  $0.1, deg = 3, $\alpha = $1",0.65 $\pm$ 0.03,same
11,"poly, $\gamma =  $0.1, deg = 3, $\alpha = $1.2",0.72 $\pm$ 0.01,same
12,"poly, $\gamma =  $0.15, deg = 2, $\alpha = $0.8",0.56 $\pm$ 0.03,same
13,"poly, $\gamma =  $0.15, deg = 2, $\alpha = $1",0.54 $\pm$ 0.02,same
14,"poly, $\gamma =  $0.15, deg = 2, $\alpha = $1.2",0.55 $\pm$ 0.02,same
15,"poly, $\gamma =  $0.15, deg = 3, $\alpha = $0.8",0.88 $\pm$ 0.02,same
16,"poly, $\gamma =  $0.15, deg = 3, $\alpha = $1",0.92 $\pm$ 0.00,same
17,"poly, $\gamma =  $0.15, deg = 3, $\alpha = $1.2",0.93 $\pm$ 0.00,same
18,"rbf, $\gamma =  $0.1, deg = NA, $\alpha = $NA",0.49 $\pm$ 0.01,same
19,"rbf, $\gamma =  $0.15, deg = NA, $\alpha = $NA",0.68 $\pm$ 0.03,same
20,"rbf, $\gamma =  $0.2, deg = NA, $\alpha = $NA",0.89 $\pm$ 0.01,same
21,"laplace, $\gamma =  $0.1, deg = NA, $\alpha = $NA",0.62 $\pm$ 0.04,same
22,"laplace, $\gamma =  $0.15, deg = NA, $\alpha = $NA",0.77 $\pm$ 0.05,same
23,"laplace, $\gamma =  $0.2, deg = NA, $\alpha = $NA",0.88 $\pm$ 0.04,same
24,"linear, $\gamma =  $NA, deg = NA, $\alpha = $NA",0.54 $\pm$ 0.02,same
25,"sigmoid, $\gamma =  $0.005, deg = NA, $\alpha = $0",0.49 $\pm$ 0.00,same
26,"sigmoid, $\gamma =  $0.005, deg = NA, $\alpha = $0.01",0.49 $\pm$ 0.00,same
27,"sigmoid, $\gamma =  $0.003, deg = NA, $\alpha = $0",0.49 $\pm$ 0.00,same
28,"sigmoid, $\gamma =  $0.003, deg = NA, $\alpha = $0.01",0.49 $\pm$ 0.00,same
29,"EasyMKL, $\gamma =  $NA, deg = NA, $\alpha = $NA",0.69 $\pm$ 0.01,same
30,"UniformMK, $\gamma =  $NA, deg = NA, $\alpha = $NA",0.49 $\pm$ 0.00,same
